423
time,lat,lon,elevation
2019-08-10T17:00:00.000Z,60.377625,5.328243,56.2
2019-08-10T17:00:03.666Z,60.377940,5.327957,18.2
2019-08-10T17:00:21.332Z,60.377845,5.328030,6.6
2019-08-10T17:00:24.998Z,60.377522,5.329218,9.2
2019-08-10T17:00:28.664Z,60.377170,5.330782,10.1
2019-08-10T17:00:32.330Z,60.376908,5.332230,9.5
2019-08-10T17:00:35.996Z,60.376713,5.333428,10.6
2019-08-10T17:00:39.662Z,60.376448,5.334072,11.4
2019-08-10T17:00:43.328Z,60.376063,5.334023,17.3
2019-08-10T17:00:46.994Z,60.375777,5.334868,24.0
2019-08-10T17:00:50.660Z,60.375480,5.335830,31.2
2019-08-10T17:00:54.326Z,60.375017,5.336097,38.3
2019-08-10T17:00:57.992Z,60.374648,5.336258,47.7
2019-08-10T17:01:01.658Z,60.374255,5.336447,53.8
2019-08-10T17:01:05.324Z,60.373877,5.336645,61.2
2019-08-10T17:01:08.990Z,60.373507,5.336798,68.5
2019-08-10T17:01:12.656Z,60.373100,5.336995,72.7
2019-08-10T17:01:16.322Z,60.372702,5.337145,78.1
2019-08-10T17:01:19.988Z,60.372253,5.337318,81.1
2019-08-10T17:01:23.654Z,60.371575,5.337375,59.8
2019-08-10T17:01:27.320Z,60.371140,5.337445,56.1
2019-08-10T17:01:49.653Z,60.371025,5.337478,54.4
2019-08-10T17:01:53.319Z,60.370467,5.337705,55.1
2019-08-10T17:01:56.652Z,60.369763,5.338027,55.9
2019-08-10T17:02:00.318Z,60.369077,5.338388,56.8
2019-08-10T17:02:03.984Z,60.368430,5.338723,57.5
2019-08-10T17:02:07.650Z,60.367703,5.339110,57.8
2019-08-10T17:02:11.316Z,60.366938,5.339562,58.4
2019-08-10T17:02:14.982Z,60.366107,5.340127,58.7
2019-08-10T17:02:18.315Z,60.365390,5.340515,58.5
2019-08-10T17:02:21.981Z,60.364688,5.340875,58.7
2019-08-10T17:02:25.647Z,60.363990,5.340977,59.4
2019-08-10T17:02:29.313Z,60.363260,5.341330,60.6
2019-08-10T17:02:32.646Z,60.362550,5.341595,60.9
2019-08-10T17:02:36.312Z,60.361692,5.341532,61.9
2019-08-10T17:02:39.645Z,60.360882,5.341135,62.4
2019-08-10T17:02:43.311Z,60.360037,5.340692,62.0
2019-08-10T17:02:46.977Z,60.359207,5.340363,61.7
2019-08-10T17:02:50.643Z,60.358255,5.340185,60.5
2019-08-10T17:02:54.309Z,60.357198,5.340023,58.6
2019-08-10T17:02:57.642Z,60.356998,5.340293,57.2
2019-08-10T17:03:00.975Z,60.356815,5.340333,55.0
2019-08-10T17:03:04.641Z,60.356055,5.339990,54.2
2019-08-10T17:03:08.307Z,60.355182,5.339260,52.4
2019-08-10T17:03:11.973Z,60.354265,5.338577,50.1
2019-08-10T17:03:15.639Z,60.353398,5.338055,47.6
2019-08-10T17:03:19.305Z,60.352497,5.337868,45.4
2019-08-10T17:03:22.971Z,60.351547,5.337697,42.7
2019-08-10T17:03:26.304Z,60.350737,5.337488,40.3
2019-08-10T17:03:29.970Z,60.350202,5.337120,36.4
2019-08-10T17:03:33.636Z,60.349968,5.337383,33.6
2019-08-10T17:03:37.302Z,60.349815,5.337922,32.4
2019-08-10T17:03:40.968Z,60.349318,5.337827,33.9
2019-08-10T17:03:44.634Z,60.348480,5.337748,36.1
2019-08-10T17:03:48.300Z,60.347520,5.338020,36.3
2019-08-10T17:03:51.966Z,60.346618,5.338933,36.0
2019-08-10T17:03:55.299Z,60.345932,5.339545,35.2
2019-08-10T17:03:58.632Z,60.345425,5.339468,33.2
2019-08-10T17:04:02.298Z,60.345000,5.339262,33.0
2019-08-10T17:04:05.964Z,60.344408,5.339427,33.6
2019-08-10T17:04:09.297Z,60.344050,5.340272,34.8
2019-08-10T17:04:12.963Z,60.343590,5.341172,32.9
2019-08-10T17:04:16.629Z,60.342988,5.341558,31.5
2019-08-10T17:04:19.962Z,60.342442,5.342027,30.2
2019-08-10T17:04:23.628Z,60.341830,5.342262,27.2
2019-08-10T17:04:27.294Z,60.341205,5.342478,24.4
2019-08-10T17:04:30.960Z,60.340733,5.342582,22.4
2019-08-10T17:04:34.293Z,60.340347,5.342985,20.4
2019-08-10T17:04:37.959Z,60.340028,5.343723,18.9
2019-08-10T17:04:41.625Z,60.339652,5.344243,19.0
2019-08-10T17:04:44.958Z,60.339235,5.343943,22.3
2019-08-10T17:04:48.624Z,60.338760,5.343535,26.6
2019-08-10T17:04:52.290Z,60.338163,5.343105,30.5
2019-08-10T17:04:55.956Z,60.337562,5.342977,31.6
2019-08-10T17:04:59.622Z,60.337005,5.343482,32.0
2019-08-10T17:05:03.288Z,60.336555,5.344123,34.1
2019-08-10T17:05:06.621Z,60.336742,5.345305,36.9
2019-08-10T17:05:10.287Z,60.336622,5.346657,37.8
2019-08-10T17:05:13.953Z,60.336507,5.347742,38.7
2019-08-10T17:05:17.619Z,60.336358,5.348928,38.8
2019-08-10T17:05:21.285Z,60.336318,5.350155,40.2
2019-08-10T17:05:24.951Z,60.336668,5.350530,43.5
2019-08-10T17:05:28.284Z,60.336960,5.350800,46.6
2019-08-10T17:05:31.950Z,60.337133,5.351378,49.0
2019-08-10T17:05:35.616Z,60.337373,5.351832,50.7
2019-08-10T17:05:38.949Z,60.337660,5.351983,53.1
2019-08-10T17:05:42.615Z,60.337947,5.352352,55.2
2019-08-10T17:05:45.948Z,60.338118,5.352972,57.4
2019-08-10T17:05:49.614Z,60.338347,5.353935,59.6
2019-08-10T17:05:53.280Z,60.338945,5.354848,61.2
2019-08-10T17:05:56.946Z,60.339457,5.355640,63.9
2019-08-10T17:06:00.279Z,60.339645,5.356062,66.3
2019-08-10T17:06:03.945Z,60.339798,5.356535,68.8
2019-08-10T17:06:07.278Z,60.339982,5.356953,72.0
2019-08-10T17:06:10.944Z,60.340240,5.357413,74.2
2019-08-10T17:06:14.277Z,60.340475,5.357803,76.3
2019-08-10T17:06:17.943Z,60.340693,5.358133,79.1
2019-08-10T17:06:21.276Z,60.340902,5.358312,80.8
2019-08-10T17:06:24.942Z,60.341088,5.358520,82.7
2019-08-10T17:06:28.608Z,60.341225,5.358615,89.2
2019-08-10T17:06:32.274Z,60.341395,5.358910,91.5
2019-08-10T17:06:35.940Z,60.341557,5.359212,94.1
2019-08-10T17:06:39.606Z,60.341758,5.359527,97.0
2019-08-10T17:06:43.272Z,60.341982,5.359855,100.6
2019-08-10T17:06:46.938Z,60.342223,5.360202,103.5
2019-08-10T17:06:50.604Z,60.342447,5.360535,106.9
2019-08-10T17:06:53.937Z,60.342647,5.360875,109.6
2019-08-10T17:06:57.603Z,60.342803,5.361177,114.3
2019-08-10T17:07:01.269Z,60.342980,5.361450,118.4
2019-08-10T17:07:04.935Z,60.343177,5.361800,122.1
2019-08-10T17:07:08.268Z,60.343427,5.362125,124.8
2019-08-10T17:07:11.934Z,60.343688,5.362462,128.9
2019-08-10T17:07:15.600Z,60.343902,5.362678,131.8
2019-08-10T17:07:19.266Z,60.344130,5.362875,134.6
2019-08-10T17:07:22.932Z,60.344350,5.363115,137.5
2019-08-10T17:07:26.598Z,60.344597,5.363268,140.3
2019-08-10T17:07:30.264Z,60.344858,5.363398,142.8
2019-08-10T17:07:47.264Z,60.344955,5.363462,143.0
2019-08-10T17:07:50.597Z,60.345450,5.363755,143.7
2019-08-10T17:07:54.263Z,60.346348,5.364123,144.8
2019-08-10T17:07:57.929Z,60.347532,5.364940,142.6
2019-08-10T17:08:01.262Z,60.348202,5.365662,140.3
2019-08-10T17:08:04.928Z,60.348658,5.366153,138.2
2019-08-10T17:08:08.594Z,60.349550,5.367060,136.2
2019-08-10T17:08:11.927Z,60.350507,5.367833,134.3
2019-08-10T17:08:15.593Z,60.351493,5.368828,131.6
2019-08-10T17:08:18.926Z,60.352515,5.368988,129.2
2019-08-10T17:08:22.592Z,60.353713,5.368763,125.1
2019-08-10T17:08:26.258Z,60.354777,5.368603,120.1
2019-08-10T17:08:29.924Z,60.355828,5.368533,115.4
2019-08-10T17:08:33.590Z,60.356792,5.368473,113.3
2019-08-10T17:08:37.256Z,60.357623,5.368620,110.3
2019-08-10T17:08:40.922Z,60.357933,5.369393,107.1
2019-08-10T17:08:44.588Z,60.358190,5.370020,103.4
2019-08-10T17:08:48.254Z,60.358428,5.370522,99.4
2019-08-10T17:08:51.920Z,60.358678,5.371030,96.2
