423
time,lat,lon,elevation
2019-08-10T17:00:00.000Z,60.377625,5.328243,56.2
2019-08-10T17:00:05.500Z,60.377940,5.327957,18.2
2019-08-10T17:00:32.000Z,60.377845,5.328030,6.6
2019-08-10T17:00:37.500Z,60.377522,5.329218,9.2
2019-08-10T17:00:43.000Z,60.377170,5.330782,10.1
2019-08-10T17:00:48.500Z,60.376908,5.332230,9.5
2019-08-10T17:00:54.000Z,60.376713,5.333428,10.6
2019-08-10T17:00:59.500Z,60.376448,5.334072,11.4
2019-08-10T17:01:05.000Z,60.376063,5.334023,17.3
2019-08-10T17:01:10.500Z,60.375777,5.334868,24.0
2019-08-10T17:01:16.000Z,60.375480,5.335830,31.2
2019-08-10T17:01:21.500Z,60.375017,5.336097,38.3
2019-08-10T17:01:27.000Z,60.374648,5.336258,47.7
2019-08-10T17:01:32.500Z,60.374255,5.336447,53.8
2019-08-10T17:01:38.000Z,60.373877,5.336645,61.2
2019-08-10T17:01:43.500Z,60.373507,5.336798,68.5
2019-08-10T17:01:49.000Z,60.373100,5.336995,72.7
2019-08-10T17:01:54.500Z,60.372702,5.337145,78.1
2019-08-10T17:02:00.000Z,60.372253,5.337318,81.1
2019-08-10T17:02:05.500Z,60.371575,5.337375,59.8
2019-08-10T17:02:11.000Z,60.371140,5.337445,56.1
2019-08-10T17:02:44.500Z,60.371025,5.337478,54.4
2019-08-10T17:02:50.000Z,60.370467,5.337705,55.1
2019-08-10T17:02:55.000Z,60.369763,5.338027,55.9
2019-08-10T17:03:00.500Z,60.369077,5.338388,56.8
2019-08-10T17:03:06.000Z,60.368430,5.338723,57.5
2019-08-10T17:03:11.500Z,60.367703,5.339110,57.8
2019-08-10T17:03:17.000Z,60.366938,5.339562,58.4
2019-08-10T17:03:22.500Z,60.366107,5.340127,58.7
2019-08-10T17:03:27.500Z,60.365390,5.340515,58.5
2019-08-10T17:03:33.000Z,60.364688,5.340875,58.7
2019-08-10T17:03:38.500Z,60.363990,5.340977,59.4
2019-08-10T17:03:44.000Z,60.363260,5.341330,60.6
2019-08-10T17:03:49.000Z,60.362550,5.341595,60.9
2019-08-10T17:03:54.500Z,60.361692,5.341532,61.9
2019-08-10T17:03:59.500Z,60.360882,5.341135,62.4
2019-08-10T17:04:05.000Z,60.360037,5.340692,62.0
2019-08-10T17:04:10.500Z,60.359207,5.340363,61.7
2019-08-10T17:04:16.000Z,60.358255,5.340185,60.5
2019-08-10T17:04:21.500Z,60.357198,5.340023,58.6
2019-08-10T17:04:26.500Z,60.356998,5.340293,57.2
2019-08-10T17:04:31.500Z,60.356815,5.340333,55.0
2019-08-10T17:04:37.000Z,60.356055,5.339990,54.2
2019-08-10T17:04:42.500Z,60.355182,5.339260,52.4
2019-08-10T17:04:48.000Z,60.354265,5.338577,50.1
2019-08-10T17:04:53.500Z,60.353398,5.338055,47.6
2019-08-10T17:04:59.000Z,60.352497,5.337868,45.4
2019-08-10T17:05:04.500Z,60.351547,5.337697,42.7
2019-08-10T17:05:09.500Z,60.350737,5.337488,40.3
2019-08-10T17:05:15.000Z,60.350202,5.337120,36.4
2019-08-10T17:05:20.500Z,60.349968,5.337383,33.6
2019-08-10T17:05:26.000Z,60.349815,5.337922,32.4
2019-08-10T17:05:31.500Z,60.349318,5.337827,33.9
2019-08-10T17:05:37.000Z,60.348480,5.337748,36.1
2019-08-10T17:05:42.500Z,60.347520,5.338020,36.3
2019-08-10T17:05:48.000Z,60.346618,5.338933,36.0
2019-08-10T17:05:53.000Z,60.345932,5.339545,35.2
2019-08-10T17:05:58.000Z,60.345425,5.339468,33.2
2019-08-10T17:06:03.500Z,60.345000,5.339262,33.0
2019-08-10T17:06:09.000Z,60.344408,5.339427,33.6
2019-08-10T17:06:14.000Z,60.344050,5.340272,34.8
2019-08-10T17:06:19.500Z,60.343590,5.341172,32.9
2019-08-10T17:06:25.000Z,60.342988,5.341558,31.5
2019-08-10T17:06:30.000Z,60.342442,5.342027,30.2
2019-08-10T17:06:35.500Z,60.341830,5.342262,27.2
2019-08-10T17:06:41.000Z,60.341205,5.342478,24.4
2019-08-10T17:06:46.500Z,60.340733,5.342582,22.4
2019-08-10T17:06:51.500Z,60.340347,5.342985,20.4
2019-08-10T17:06:57.000Z,60.340028,5.343723,18.9
2019-08-10T17:07:02.500Z,60.339652,5.344243,19.0
2019-08-10T17:07:07.500Z,60.339235,5.343943,22.3
2019-08-10T17:07:13.000Z,60.338760,5.343535,26.6
2019-08-10T17:07:18.500Z,60.338163,5.343105,30.5
2019-08-10T17:07:24.000Z,60.337562,5.342977,31.6
2019-08-10T17:07:29.500Z,60.337005,5.343482,32.0
2019-08-10T17:07:35.000Z,60.336555,5.344123,34.1
2019-08-10T17:07:40.000Z,60.336742,5.345305,36.9
2019-08-10T17:07:45.500Z,60.336622,5.346657,37.8
2019-08-10T17:07:51.000Z,60.336507,5.347742,38.7
2019-08-10T17:07:56.500Z,60.336358,5.348928,38.8
2019-08-10T17:08:02.000Z,60.336318,5.350155,40.2
2019-08-10T17:08:07.500Z,60.336668,5.350530,43.5
2019-08-10T17:08:12.500Z,60.336960,5.350800,46.6
2019-08-10T17:08:18.000Z,60.337133,5.351378,49.0
2019-08-10T17:08:23.500Z,60.337373,5.351832,50.7
2019-08-10T17:08:28.500Z,60.337660,5.351983,53.1
2019-08-10T17:08:34.000Z,60.337947,5.352352,55.2
2019-08-10T17:08:39.000Z,60.338118,5.352972,57.4
